trial,start_time,rt,correct,condition,mask,test,presented_cue,user_answer,fact_id,question,answer,alpha
1,11638.914900002419,870.0111999933142,True,pitch_masked,True,learning,b3,b,12,b,b,0.3
2,17804.02199999662,1704.5077999937348,True,pitch_masked,True,test,f3,f,6,f,f,0.3
3,22035.253599999123,817.3506000021007,True,pitch_masked,True,test,b3,b,12,b,b,0.3
4,25400.33720000065,940.1794000004884,True,pitch_masked,True,test,b4,b,12,b,b,0.250390625
5,29399.262699997053,773.3620999933919,False,pitch_masked,True,test,g-3,g,9,g-,g sharp,0.3
6,36998.3315999998,3231.740599992918,True,pitch_masked,True,test,g-4,g sharp,9,g-,g sharp,0.3
7,42594.9835999927,793.5733000049368,True,pitch_masked,True,test,e4,e,5,e,e,0.3
8,45294.35319999175,4230.19220000424,True,pitch_masked,True,test,d3,d,3,d,d,0.3
9,64004.76179999532,inf,True,pitch_masked,True,test,f4,f,6,f,f,0.3
10,74654.76869999839,2701.804099997389,False,pitch_masked,True,test,a-3,aminus,11,a-,b flat,0.3
11,83647.81239999866,1252.7970999944955,True,pitch_masked,True,test,d3,d,3,d,d,0.3
12,92995.14899999485,2929.4170000066515,False,pitch_masked,True,test,a-4,aminus,11,a-,b flat,0.3
13,99576.43669999379,892.3495000053663,True,pitch_masked,True,test,e3,e,5,e,e,0.3

1,102669.03989999264,711.5331000095466,True,pitch_unmasked,False,learning,c4,c,1,c,c,0.3
2,104622.68509999558,1918.1128000054741,True,pitch_unmasked,False,learning,c4,c,1,c,c,0.3
3,121453.06689999416,4159.685000005993,False,pitch_unmasked,False,test,d-3,ef late,4,d-,e flat,0.3
4,126452.91009999346,1687.6744000037434,True,pitch_unmasked,False,test,g4,g,8,g,g,0.3
5,128816.41249998938,860.2444999996806,True,pitch_unmasked,False,test,a3,a,10,a,a,0.3
6,130246.85019999743,2893.804999999702,True,pitch_unmasked,False,test,c-3,c sharp,2,c-,c sharp,0.3
7,133565.5958999996,17047.679099996458,False,pitch_unmasked,False,test,f-4,pressed backspace before entereing anthing,7,f-,f sharp,0.3
8,151208.2315000007,5404.348099997151,False,pitch_unmasked,False,test,f-3,fminus3,7,f-,f sharp,0.3
9,157356.45029999432,1664.1081999987364,False,pitch_unmasked,False,test,g3,g3,8,g,g,0.3
10,159755.96559999394,2584.905299998354,False,pitch_unmasked,False,test,c3,c3,1,c,c,0.349609375
11,162738.11039999418,3202.8961000032723,False,pitch_unmasked,False,test,c-4,lol,2,c-,c sharp,0.3
12,166487.13080000016,6149.411899998086,False,pitch_unmasked,False,test,d-3,dwwww,4,d-,e flat,0.3
13,173469.8112999904,16199.099900011788,False,pitch_unmasked,False,test,c4,d,1,c,c,0.390625
14,190260.61509999272,2298.6487000016496,False,pitch_unmasked,False,test,a4,g,10,a,a,0.3

1,200075.5910000007,6024.982799994177,True,interval_masked,True,learning,"('a-2', 'g-3')",minor seventh,10,10,minor seventh,0.3
2,220732.94269999315,7799.847800008138,False,interval_masked,True,test,"('e4', 'a-4')",8,6,6,augmented fourth / diminished fifth / tritone,0.3
3,238345.9034999978,inf,False,interval_masked,True,test,"('g3', 'a3')",perfect fifth,2,2,major second,0.3
4,250206.37319999514,9670.145099997171,False,interval_masked,True,test,"('g3', 'g4')",big difference,12,12,perfect octave,0.3
5,263703.8334999961,inf,False,interval_masked,True,test,"('g4', 'd-5')",major seventh,8,8,minor sixth,0.3
6,291777.789499989,5730.775500007439,True,interval_masked,True,test,"('d4', 'd-4')",minor second,1,1,minor second,0.3
7,301341.7557999928,6719.380399998045,False,interval_masked,True,test,"('g-3', 'e4')",major second,8,8,minor sixth,0.3
8,312253.5887999984,8823.062700001174,False,interval_masked,True,test,"('e4', 'd5')",major sixth,10,10,minor seventh,0.3
9,325281.19719999086,9580.345800000941,False,interval_masked,True,test,"('d-3', 'a3')",major second,6,6,augmented fourth / diminished fifth / tritone,0.3
10,338216.46489998966,6596.376500005135,True,interval_masked,True,test,"('g3', 'g-3')",minor second,1,1,minor second,0.3
11,349774.66309999,5646.595400001388,False,interval_masked,True,test,"('g4', 'a4')",minor third,2,2,major second,0.3
12,357805.13719999,30023.46560001024,False,interval_masked,True,test,"('g-4', 'f-5')",perfect octvae,10,10,minor seventh,0.300390625
13,390211.6258999886,1424.9339000089094,False,interval_masked,True,test,"('e3', 'e4')",lute,12,12,perfect octave,0.3

1,395556.80349998875,3159.8643000033917,True,interval_unmasked,False,learning,"('f-3', 'a-3')",major third,4,4,major third,0.3
2,399939.0784999996,3121.662899997318,True,interval_unmasked,False,learning,"('f4', 'a4')",major third,4,4,major third,0.3
3,405252.83379999746,4303.787500000908,True,interval_unmasked,False,test,"('a2', 'c-3')",major third,4,4,major third,0.349609375
4,409952.4483999994,6044.171499990625,False,interval_unmasked,False,test,"('f3', 'e4')",perfect fifth,11,11,major seventh,0.3
5,416418.88409999956,inf,False,interval_unmasked,False,test,"('c-4', 'f-4')",major third,5,5,perfect fourth,0.3
6,424515.60469999094,5233.390000008512,True,interval_unmasked,False,test,"('g3', 'g3')",perfect unison,0,0,perfect unison,0.3
7,430164.5322999975,inf,True,interval_unmasked,False,test,"('a3', 'c4')",minor third,3,3,minor third,0.3
8,447744.0142999985,6284.73459999077,False,interval_unmasked,False,test,"('c3', 'e3')",major second,4,4,major third,0.39921874999999996
9,454404.9939999968,4834.754099996644,True,interval_unmasked,False,test,"('a3', 'a3')",perfect unison,0,0,perfect unison,0.3
10,459670.31449999195,inf,False,interval_unmasked,False,test,"('a-3', 'a4')",idk,11,11,major seventh,0.3
11,470433.76629998966,3747.0841000031214,False,interval_unmasked,False,test,"('c-3', 'a-3')",very far,9,9,major sixth,0.3
12,474648.8731999998,3844.0250999992713,False,interval_unmasked,False,test,"('e4', 'a4')",less far,5,5,perfect fourth,0.3
13,478914.2387999891,3818.9666000107536,False,interval_unmasked,False,test,"('c-4', 'e4')",even closer,3,3,minor third,0.3
14,483129.7287999914,inf,False,interval_unmasked,False,test,"('c3', 'a3')",farther,9,9,major sixth,0.3

1,8333.828699993319,2039.3771000090055,True,instrument,True,learning,frenchhorn,french horn,6,frenchhorn,french horn,0.3
2,15228.980399988359,2175.7086000143318,True,instrument,True,test,harmonica,harmonica,7,harmonica,harmonica,0.3
3,19903.50899999612,1485.245899995789,False,instrument,True,test,flute,fluet,5,flute,flute,0.3
4,23250.786999997217,1730.1781999995,True,instrument,True,test,clarinet,clarinet,2,clarinet,clarinet,0.3
5,26767.471999992267,2221.7970000056084,True,instrument,True,test,piano,piano,10,piano,piano,0.3
6,30665.198299990152,5723.507100003189,False,instrument,True,test,frenchhorn,franchehorn,6,frenchhorn,french horn,0.3
7,40846.70359999291,1366.1361999984365,True,instrument,True,test,harp,harp,8,harp,harp,0.3
8,43860.97369999334,711.7013999959454,False,instrument,True,test,maraccas,l,9,maraccas,maraccas,0.3
9,49909.826199989766,inf,False,instrument,True,test,accordeon,completely erased,1,accordeon,accordeon,0.3
10,72001.26019999152,2203.449400010868,True,instrument,True,test,drums,drums,3,drums,drums,0.3
11,77882.21469998825,4122.982900007628,False,instrument,True,test,maraccas,marracass,9,maraccas,maraccas,0.3
12,85496.46429999848,7084.218099989812,True,instrument,True,test,electric_guitar,electric guitar,4,electric_guitar,electric guitar,0.3
13,96960.82880000176,2139.7107999946456,True,instrument,True,test,piano,piano,10,piano,piano,0.3
14,194916.73060000176,3976.108499991824,True,instrument,True,learning,harmonica,harmonica,7,harmonica,harmonica,0.3
15,215356.83150000114,4944.130799995037,True,instrument,True,test,accordeon,accordeon,1,accordeon,accordeon,0.3
16,229432.74839999503,8548.161300001084,True,instrument,True,test,frenchhorn,french horn,6,frenchhorn,french horn,0.312890625
17,246676.9159999967,3088.1036999926437,False,instrument,True,test,drums,frums,3,drums,drums,0.3
18,260253.59429999662,3007.1642999973847,True,instrument,True,test,flute,flute,5,flute,flute,0.3
19,278783.46999999485,11869.3889999995,False,instrument,True,test,accordeon,accorden,1,accordeon,accordeon,0.300390625
20,298076.18759998877,2816.451300008339,True,instrument,True,test,harp,harp,8,harp,harp,0.3
21,308455.4391999991,3414.021499993396,True,instrument,True,test,electric_guitar,electric guitar,4,electric_guitar,electric guitar,0.3
22,321583.7022999913,3292.893300007563,False,instrument,True,test,harmonica,harmoica,7,harmonica,harmonica,0.300390625
23,335245.62639999203,2215.3475000086473,True,instrument,True,test,maraccas,maraccas,9,maraccas,maraccas,0.250390625
24,345176.1878999969,4093.8485999940895,True,instrument,True,test,piano,piano,10,piano,piano,0.302734375
25,355805.45909999637,1583.444599993527,True,instrument,True,test,harp,harp,8,harp,harp,0.250390625
26,388295.2704999916,1581.7912000056822,False,instrument,True,test,clarinet,flute,2,clarinet,clarinet,0.3

